id,companyName,symbol,securityName,status,companyEmail,website,sectorName,regulatoryBody,instrumentType
149,Oriental Hotels Limited,OHL,Oriental Hotels Limited,A,legal@radkat.com.np,,Hotels And Tourism,Ministry of Tourism,Equity
150,National Pro. And Eco. Dev. Centre,ESC,National Pro. And Eco. Dev. Centre,D,esc@esc.com,,Others,N/A,Equity
151,Nepal Film Development Company Limited,NFD,Nepal Film Development Company Limited,S,nfd@nfd.com,,Others,N/A,Equity
152,National Hydro Power Company Limited,NHPC,National Hydro Power Company Limited,A,info@nhpcl.com,,Hydro Power,Nepal Hydropower Board,Equity
153,Butwal Power Company Limited,BPCL,Butwal Power Company Limited,A,hari.budhathoki@bpc.com.np,http://www.bpc.com.np,Hydro Power,Nepal Hydropower Board,Equity
154,Chilime Hydropower Company Limited,CHCL,Chilime Hydropower Company Limited,A,narayanprasad.acharya@chilime.com.np,,Hydro Power,Nepal Hydropower Board,Equity
155,Salt Trading Corporation,STC,Salt Trading Corporation,A,legalstcnepal@gmail.com,,Tradings,Department of Industry,Equity
156,Bishal Bazar Company Limited,BBC,Bishal Bazar Company Limited,A,info@bishalbazar.com.np,,Tradings,Department of Industry,Equity
157,Nepal Byapar Bikash Company(Koshi) Limited,NBCK,Nepal Byapar Bikash Company(Koshi) Limited,D,nbck@nbck.com,,Tradings,Department of Industry,Equity
158,Nepal Tading Limited,NTL,Nepal Tading Limited,S,ntl@ntl.com,,Tradings,Department of Industry,Equity
159,Nepal Welfare Company Limited,NWC,Nepal Welfare Company Limited,S,nwc@nwc.com,,Tradings,Department of Industry,Equity
160,NIDC Development Bank Ltd.,NIDC,NIDC Development Bank Ltd.,D,nidc@nidc.org.np,http://www.nidc.org.np,Development Banks,Nepal Rastra Bank,Equity
161,Nepal Development Bank Limited,NDB,Nepal Development Bank Limited,D,ndb@ndb.com,,Development Banks,Nepal Rastra Bank,Equity
162,Grand Bank Nepal Limited,GRAND,Grand Bank Nepal Limited,D,dcbl@dcbl.com,,Commercial Banks,Nepal Rastra Bank,Equity
163,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,A,rbchaudhary@nirdhan.com.np,,Microfinance,Nepal Rastra Bank,Equity
164,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,A,info@chhimekbank.org,,Microfinance,Nepal Rastra Bank,Equity
165,Paschimanchal Bikash Bank Limited,PDBL,Paschimanchal Bikash Bank Limited,D,pbbl@pbbl.com,,Development Banks,Nepal Rastra Bank,Equity
166,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,A,ddbl@ddbank.org.np,,Microfinance,Nepal Rastra Bank,Equity
167,Gandaki Bikas BankLimited,GDBL1,Gandaki Bikas BankLimited,D,hop@gandakibank.com,,Development Banks,Nepal Rastra Bank,Equity
168,Business Universal Development Bank Ltd.,BUDBL,Business Universal Development Bank Ltd.,D,info@budbank.com.np,http://www.budbank.com.np,Development Banks,Nepal Rastra Bank,Equity
169,Siddhartha Development Bank Ltd.,SDBL,Siddhartha Development Bank Ltd.,D,info@sdbl.com.np,,Development Banks,Nepal Rastra Bank,Equity
170,Bhrikuti Vikash Bank Limited,BBBL,Bhrikuti Vikash Bank Limited,D,vbb@vbb.com,,Development Banks,Nepal Rastra Bank,Equity
171,Sanima Bank Limited,SANIMA,Sanima Bank Limited,A,RUDRA@sanimabank.com,www.sanimabank.com,Commercial Banks,Nepal Rastra Bank,Equity
172,Narayani Development Bank Limited,NABBC,Narayani Development Bank Limited,A,info@ndbl.com.np,www.ndbl.com.np,Development Banks,Nepal Rastra Bank,Equity
173,Bagheshwori Development Bank Limited,BBBLN,Bagheshwori Development Bank Limited,D,bdb@bdb.com,,Development Banks,Nepal Rastra Bank,Equity
174,Sahayogi Bikas Bank Limited,SBBLJ,Sahayogi Bikas Bank Limited,D,sahayogibank@yahoo.com,http://www.sahayogibank.com.np,Development Banks,Nepal Rastra Bank,Equity
175,Gurkha Development Bank Limited,GDBNL,Gurkha Development Bank Limited,D,info@gdbl.com.np,http://www.gdbl.com.np,Development Banks,Nepal Rastra Bank,Equity
176,Nepal Insurance Co. Ltd.,NICL,Nepal Insurance Co. Ltd.,A,nic@nepalinsurance.com.np,,Non Life Insurance,Nepal Insurance Board,Equity
177,Rastriya Beema Company Limited,RBCL,Rastriya Beema Company Limited,A,info@rbcl.gov.np,,Non Life Insurance,Nepal Insurance Board,Equity
178,National Life Insurance Co. Ltd.,NLICL,National Life Insurance Co. Ltd.,A,it@nationallife.com.np,,Life Insurance,Nepal Insurance Board,Equity
179,Himalayan Everest Insurance Limited,HEI,Himalayan Everest Insurance Limited,A,subindra.shrestha@hei.com.np,,Non Life Insurance,Nepal Insurance Board,Equity
180,United Ajod Insurance Limited,UAIL,United Ajod Insurance Limited,A,info@unitedajodinsurance.com,www.unitedajodinsurance.com,Non Life Insurance,Nepal Insurance Board,Equity
181,Everest Insurance Co. Ltd.,EIC,Everest Insurance Co. Ltd.,D,pradip@eic.com.np,,Non Life Insurance,Nepal Insurance Board,Equity
182,Siddhartha Premier Insurance Limited,SPIL,Siddhartha Premier Insurance Limited,A,premier@picl.com.np,,Non Life Insurance,Nepal Insurance Board,Equity
183,Neco Insurance Limited,NIL,Neco Insurance Limited,A,info@neco.com.np,http://www.necoinsurance.com.np,Non Life Insurance,Nepal Insurance Board,Equity
184,Prabhu Insurance Ltd.,PRIN,Prabhu Insurance Ltd.,A,info@prabhuinsurance.com,http://www.prabhuinsurance.com,Non Life Insurance,Nepal Insurance Board,Equity
185,Sagarmatha Lumbini Insurance Co. Limited,SALICO,Sagarmatha Lumbini Insurance Co. Limited,A,bishow.ad@sagarmathainsurance.com.np,,Non Life Insurance,Nepal Insurance Board,Equity
186,IGI Prudential Insurance Limited,IGI,IGI Prudential insurance Limited,A,compliance@iginepal.com,http://www.iginepal.com,Non Life Insurance,Nepal Insurance Board,Equity
187,Nepal Life Insurance Co. Ltd.,NLIC,Nepal Life Insurance Co. Ltd.,A,cs@nepallife.com.np,,Life Insurance,Nepal Insurance Board,Equity
188,Life Insurance Corporation (Nepal) Limited,LICN,Life Insurance Corporation (Nepal) Limited,A,cs@licnepal.com.np,http://www.licnepal.com.np,Life Insurance,Nepal Insurance Board,Equity
189,Prudential Insurance Co. Ltd.,PICL,Prudential Insurance Co. Ltd.,D,info@pil.com.np,http://www.pil.com,Non Life Insurance,Nepal Insurance Board,Equity
190,Lumbini General Insurance Co. Ltd.,LGIL,Lumbini General Insurance Co. Ltd.,D,devendra@lgic.com.np,,Non Life Insurance,Nepal Insurance Board,Equity
192,Shikhar Insurance Co. Ltd.,SICL,Shikhar Insurance Co. Ltd.,A,info@shikharinsurance.com,http://www.shikharinsurance.com,Non Life Insurance,Nepal Insurance Board,Equity
193,Morang Sugar Mills Limited,MSM,Morang Sugar Mills Limited,D,msm@msm.com,,Manufacturing And Processing,Department of Industry,Equity
194,Nepal Finance Ltd.,NFS,Nepal Finance Ltd.,A,info@nepalfinance.com.np,www.nepalfinancelimited.com.np,Finance,Nepal Rastra Bank,Equity
195,Bottlers Nepal (Balaju) Limited,BNL,Bottlers Nepal (Balaju) Limited,A,prburma@coca-cola.com.np,,Manufacturing And Processing,Department of Industry,Equity
196,NIDC Capital Markets Ltd.,NCM,NIDC Capital Markets Ltd.,D,info@ncml.com.np,http://www.ncml.com.np,Finance,Nepal Rastra Bank,Equity
197,Biratnagar Jute Mills Limited,BJM,Biratnagar Jute Mills Limited,D,bjm@bjm.com,,Manufacturing And Processing,Department of Industry,Equity
198,Nepal Lube Oil Limited,NLO,Nepal Lube Oil Limited,A,g.bhattarai@cg.holdings,,Manufacturing And Processing,Department of Industry,Equity
199,Narayani National Finance Limited,NNFC,Narayani National Finance Limited,D,info@nnfl.com.np,http://www.nnfl.com.np,Finance,Nepal Rastra Bank,Equity
200,Nepal Share Markets Ltd.,NSM,Nepal Share Markets Ltd.,S,nsm@nsm.com,,Finance,Nepal Rastra Bank,Equity
201,Nepal Vanaspati Ghee Udhyog Limited,NVG,Nepal Vanaspati Ghee Udhyog Limited,S,nvg@nvg.com,,Manufacturing And Processing,Department of Industry,Equity
202,Kailash Bikas Bank Ltd.,KBBL,Kailash Bikas Bank Ltd.,D,subashghimire@kailashbank.com,http://www.kailashbank.com,Development Banks,Nepal Rastra Bank,Equity
203,Raghupati Jute Mills Limited,RJM,Raghupati Jute Mills Limited,S,account@srjml.com.np,,Manufacturing And Processing,Department of Industry,Equity
204,Gurkhas Finance Ltd.,GUFL,Gurkhas Finance Ltd.,A,mukunda@gurkhasfinance.com.np,www.gurkhasfinance.com.np,Finance,Nepal Rastra Bank,Equity
205,Butwal Spinning Mills Limited,BSM,Butwal Spinning Mills Limited,S,bsm@bsm.com,,Manufacturing And Processing,Department of Industry,Equity
206,Peoples Finance Ltd.,PFCL,Peoples Finance Ltd.,D,pfcl@pfcl.com,,Finance,Nepal Rastra Bank,Equity
207,Gorakhkali Rubber Udhyog Limited,GRU,Gorakhkali Rubber Udhyog Limited,S,gru@gru.com,,Manufacturing And Processing,Department of Industry,Equity
208,Union Finance Co. Ltd.,UFCL,Union Finance Co. Ltd.,D,ufl@union.com.np,,Finance,Nepal Rastra Bank,Equity
209,Jyoti Sinning Mills Limited,JSM,Jyoti Sinning Mills Limited,S,jsm@jsm.com,,Manufacturing And Processing,Department of Industry,Equity
210,Citizen Investment Trust,CIT,Citizen Investment Trust,A,cit.cmkt@gmail.com,,Investment,Nepal Rastra Bank,Equity
211,Arun Vanaspati Udhyog Limited,AVU,Arun Vanaspati Udhyog Limited,S,avu@avu.com,,Manufacturing And Processing,Department of Industry,Equity
212,Nepal Aawas Finance Limited,NABB,Nepal Aawas Finance Limited,D,nabb@nabb.com,,Finance,Nepal Rastra Bank,Equity
213,Bottlers Nepal (Terai) Limited,BNT,Bottlers Nepal (Terai) Limited,A,investorrelations@coca-cola.com.np,,Manufacturing And Processing,Department of Industry,Equity
214,Narayani Finance Ltd.,NFL,Narayani Finance Ltd.,D,nfl@nfl.com,,Finance,Nepal Rastra Bank,Equity
215,Harisiddhi Brick And Tiles Limited,HBT,Harisiddhi Brick And Tiles Limited,S,hbt@hbt.com,,Manufacturing And Processing,Department of Industry,Equity
216,Ace Development Bank Ltd.,ACEDBL,Ace Development Bank Ltd.,D,info@ace.com.np,,Development Banks,Nepal Rastra Bank,Equity
217,Birat Shoe Limited,BSL,Birat Shoe Limited,S,bsl@bsl.com,,Manufacturing And Processing,Department of Industry,Equity
218,Yeti Finance Ltd.,YFL,Yeti Finance Ltd.,D,yfl@yfl.com,,Finance,Nepal Rastra Bank,Equity
219,Unilever Nepal Limited,UNL,Unilever Nepal Limited,A,unl.shareholdersconnect@unilever.com,,Manufacturing And Processing,Department of Industry,Equity
220,Gorkha Finance Ltd.,GFLK,Gorkha Finance Ltd.,D,gflk@gflk.com,,Finance,Nepal Rastra Bank,Equity
221,Samjhana Finance Co. Ltd.,SFC,Samjhana Finance Co. Ltd.,S,sfc@sfc.com,,Finance,Nepal Rastra Bank,Equity
222,Nepal Khadya Udhyog Limited,NKU,Nepal Khadya Udhyog Limited,S,nku@nku.com,,Manufacturing And Processing,Department of Industry,Equity
223,Universal Finance Ltd.,UFLK,Universal Finance Ltd.,D,uflk@uflk.com,,Finance,Nepal Rastra Bank,Equity
224,Himgiri Textile Industries Limited,HTL,Himgiri Textile Industries Limited,D,htu@htu.com,,Manufacturing And Processing,Department of Industry,Equity
225,Nepal Housing & Merchant Finance Ltd.,NHMF,Nepal Housing & Merchant Finance Ltd.,D,nhmf@nhmf.com,,Finance,Nepal Rastra Bank,Equity
226,Shree Bhrikuti Pulp And Paper Limited,SBPP,Shree Bhrikuti Pulp And Paper Limited,S,sbpp@sbpp.com,,Manufacturing And Processing,Department of Industry,Equity
227,Best Finance Company Ltd.,BFC,Best Finance Company Ltd.,A,raj.shrestha@bestfinance.com.np,,Finance,Nepal Rastra Bank,Equity
228,Fleur Himalayan Limited,FHL,Fleur Himalayan Limited,S,fhl@fhl.com,,Manufacturing And Processing,Department of Industry,Equity
229,Maha Laxmi Finance Ltd.,MFL,Maha Laxmi Finance Ltd.,D,info@mahalaxmi.com.np,,Finance,Nepal Rastra Bank,Equity
230,Shree Ram Sugar Mills Limited,SRS,Shree Ram Sugar Mills Limited,S,srs@srs.com,,Manufacturing And Processing,Department of Industry,Equity
231,Lalitpur Finance Ltd.,LFC,Lalitpur Finance Ltd.,D,lfc@lfc.com,,Finance,Nepal Rastra Bank,Equity
232,Goodwill Finance Limited,GFCL,Goodwill Finance Limited,A,info@goodwill.net.np,https://goodwillfinance.com.np/,Finance,Nepal Rastra Bank,Equity
233,Nepal Bitumin And Barrel Udhyog Limited,NBBU,Nepal Bitumin And Barrel Udhyog Limited,S,nbbu@nbbu.com,,Manufacturing And Processing,Department of Industry,Equity
234,Paschimanchal Finance Co. Ltd.,PFC,Paschimanchal Finance Co. Ltd.,D,paficol@gmail.com,,Finance,Nepal Rastra Bank,Equity
235,Himalayan Distillery Limited,HDL,Himalayan Distillery Limited,A,info@himalayandistillery.com,,Manufacturing And Processing,Department of Industry,Equity
236,Pokhara Finance Ltd.,PFL,Pokhara Finance Ltd.,A,info@pokharafinance.com.np,,Finance,Nepal Rastra Bank,Equity
237,Lumbini Finance Ltd.,LFLC,Lumbini Finance Ltd.,D,lufil@mos.com.np,http://www.lumbinifinance.com.np,Finance,Nepal Rastra Bank,Equity
238,NMB Bank Limited,NMB,NMB Bank Limited,A,pramod.dahal@nmb.com.np,http://www.nmb.com.np,Commercial Banks,Nepal Rastra Bank,Equity
239,Siddharth Finance Ltd.,SFL,Siddharth Finance Ltd.,D,sfl.bhwa@gmail.com,,Finance,Nepal Rastra Bank,Equity
240,Alpic Everest Finance Co. Ltd.,AEFL,Alpic Everest Finance Co. Ltd.,D,abc@abc.com,,Finance,Nepal Rastra Bank,Equity
241,Nepal Bangladesh Finance & Leasing Co. Ltd.,NBFL,Nepal Bangladesh Finance & Leasing Co. Ltd.,D,abc@abc.com,,Finance,Nepal Rastra Bank,Equity
242,United Finance Ltd.,UFL,United Finance Ltd.,D,shesh.dhungana@ufl.com.np,http://www.ufl.com.np,Finance,Nepal Rastra Bank,Equity
243,International Leasing & Finance Co. Ltd.,ILFC,International Leasing & Finance Co. Ltd.,D,info@ilfco.com.np,http://www.ilfco.com.np,Finance,Nepal Rastra Bank,Equity
244,Shree Investment Finance Co. Ltd.,SIFC,Shree Investment Finance Co. Ltd.,A,info@shreefinance.com.np,http://www.shreefinance.com.np,Finance,Nepal Rastra Bank,Equity
245,Central Finance Co. Ltd.,CFCL,Central Finance Co. Ltd.,A,info@centralfinance.com.np,,Finance,Nepal Rastra Bank,Equity
246,Nepal Shree Lanka Merchant Banking & Finance Ltd,NSLMB,Nepal Shree Lanka Merchant Banking & Finance Ltd,D,abc@abc.com,,Finance,Nepal Rastra Bank,Equity
247,Premier Finance Co. Ltd.,PFCLL,Premier Finance Co. Ltd.,D,abc@abc.com,,Finance,Nepal Rastra Bank,Equity
248,Nava Durga Finance Co. Ltd.,NDFL,Nava Durga Finance Co. Ltd.,D,abc@abc.com,,Finance,Nepal Rastra Bank,Equity
249,Synergy Finance Ltd.,SYFL,Synergy Finance Ltd.,D,abc@abc.com,,Finance,Nepal Rastra Bank,Equity
250,Janaki Finance Company Limited,JFL,Janaki Finance Company Limited,A,info@jfcjanakpur.com,,Finance,Nepal Rastra Bank,Equity
251,Standard Finance Ltd.,STFL,Standard Finance Ltd.,D,abc@abc.com,,Finance,Nepal Rastra Bank,Equity
252,Om Finance Ltd.,OFL,Om Finance Ltd.,D,info@omfinance.com,http://www.omfinance.com,Finance,Nepal Rastra Bank,Equity
253,CMB Finance Limited,CMBF,CMB Finance Limited,D,cmbfl@wlink.com.np,,Finance,Nepal Rastra Bank,Equity
254,Fewa Finance Co. Ltd.,FFCL,Fewa Finance Co. Ltd.,D,avu@avu.com,,Finance,Nepal Rastra Bank,Equity
255,Prabhu  Bank Limited,PRVU,Prabhu  Bank Limited,A,amit.bhandari@prabhubank.com,,Commercial Banks,Nepal Rastra Bank,Equity
256,Samriddhi Finance Company Limited,SFCL,Samriddhi Finance Company Limited,A,cs@sfcl.com.np,http://www.wmerchantbank.com,Finance,Nepal Rastra Bank,Equity
257,Birgunj Finance Ltd.,BJFL,Birgunj Finance Ltd.,D,avu@avu.com,,Finance,Nepal Rastra Bank,Equity
258,Everest Finance Ltd.,EFL,Everest Finance Ltd.,D,efl@efl.com.np,,Finance,Nepal Rastra Bank,Equity
259,Capital Merchant Bank & Finance Co. Ltd.,CMB,Capital Merchant Bank & Finance Co. Ltd.,S,avu@avu.com,,Finance,Nepal Rastra Bank,Equity
260,Prudential Finance Company Limited,PFIL,Prudential Finance Company Limited,D,info@pbsl.com.np,,Finance,Nepal Rastra Bank,Equity
261,Shrijana Finance  (Bittaya Sanstha),SFFIL,Shrijana Finance  (Bittaya Sanstha),D,avu@avu.com,,Finance,Nepal Rastra Bank,Equity
262,Apex Development Bank Ltd.,APEX,Apex Development Bank Ltd.,D,info@apexbanknepal.com,,Development Banks,Nepal Rastra Bank,Equity
263,Guheswori Merchant Banking & Finance Ltd.,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,A,compliance@gmbf.com.np,www.gmbf.com.np,Finance,Nepal Rastra Bank,Equity
264,IME Financial Institution,IMEFI,IME Financial Institution,D,avu@avu.com,,Finance,Nepal Rastra Bank,Equity
265,Bhajuratna Finance & Saving Co. Ltd.,BFIL,Bhajuratna Finance & Saving Co. Ltd.,D,avu@avu.com,,Finance,Nepal Rastra Bank,Equity
266,Patan Finance Limited,PFLBS,Patan Finance Limited,D,pafl@pafl.com,,Finance,Nepal Rastra Bank,Equity
267,Supreme Development Bank Ltd.,SUPRME,Supreme Development Bank Ltd.,D,anna@anna.com,,Development Banks,Nepal Rastra Bank,Equity
268,Swabalamban Laghubitta Bittiya Sanstha Limited,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,A,finance@swbbl.com.np,www.swbbl.com.np,Microfinance,Nepal Rastra Bank,Equity
269,NIDC Capital Markets Ltd.,NCMMF,NCM Mutual Fund,D,info@ncml.com.np,http://www.ncml.com.np,Finance,Nepal Rastra Bank,Mutual Funds
270,Imperial Financial Inst. Ltd.,IFIL,Imperial Financial Inst. Ltd.,D,imperial@imperial.com,,Finance,Nepal Rastra Bank,Equity
271,Society Development Bank Ltd.,SODBL,Society Development Bank Ltd.,D,himchulibbs@wlink.com.np,,Development Banks,Nepal Rastra Bank,Equity
272,Civil Merchant Bittiya Santha Ltd.,CMBSL,Civil Merchant Bittiya Santha Ltd.,D,marketing@civilmbsl.com,,Finance,Nepal Rastra Bank,Equity
273,ICFC Finance Limited,ICFC,ICFC Finance Limited,A,nepsereport@icfcbank.com,www.icfc.com.np,Finance,Nepal Rastra Bank,Equity
274,Excel Development Bank Ltd.,EDBL,Excel Development Bank Ltd.,A,info@edb.com.np,,Development Banks,Nepal Rastra Bank,Equity
275,Mahalaxmi BikasBank Limited,MLBL1,Mahalaxmi BikasBank Limited,D,malika@nepse.com,,Development Banks,Nepal Rastra Bank,Equity
277,Everest Bank Limited,EBLCP,Everest Bank Limited Con. Pref.,D,sharedept@ebl.com.np,www.everestbankltd.com,Commercial Banks,Nepal Rastra Bank,Preference Shares
278,Nepal Express Finance Ltd.,NEFL,Nepal Express Finance Ltd.,D,nepalxfinance@wlink.com.np,http://www.nepalexfinance.com,Finance,Nepal Rastra Bank,Equity
279,Biratlaxmi Bikas Bank Limited,BLDBL,Biratlaxmi Bikas Bank Limited,D,info@biratlaxmibank.com.np,,Development Banks,Nepal Rastra Bank,Equity
280,Siddhartha Insurance Ltd.,SIL,Siddhartha Insurance Ltd.,D,info@siddharthainsurance.com,,Non Life Insurance,Nepal Insurance Board,Equity
290,Infrastructure Development Bank Ltd.,IDBL,Infrastructure Development Bank Ltd.,D,info@idbank.com.np,,Development Banks,Nepal Rastra Bank,Equity
296,City Express Finance Co. Limited,CEFL,City Express Finance Co. Limited,D,legal@cityexpress.com.np,,Finance,Nepal Rastra Bank,Equity
307,Nepal Doorsanchar Company Limited,NTC,Nepal Doorsanchar Company Limited,A,cs.nt@ntc.net.np,www.ntc.net.np,Others,N/A,Equity
308,Prabhu Bikas Bank Limited,PRBBL,Prabhu Bikas Bank Limited,D,info@prabhufin.com.np,,Development Banks,Nepal Rastra Bank,Equity
311,Deva Bikas Bank Limited,DBBL,Deva Bikas Bank Limited,D,info@devabank.com.np,,Development Banks,Nepal Rastra Bank,Equity
320,Lord Buddha Finance Limited,LBFIL,Lord Buddha Finance Limited,D,info@loardbuddhafinance.com.np,,Finance,Nepal Rastra Bank,Equity
321,Sagarmatha  Finance Limited,SAFL,Sagarmatha  Finance Limited,D,info@sagarmatha.com.np,,Finance,Nepal Rastra Bank,Equity
331,Subhechha Bikas Bank Limited,SUBBL,Subhechha Bikas Bank Limited,D,info@subbl.com.np,,Development Banks,Nepal Rastra Bank,Equity
332,Kaski Finance Limited,KAFIL,Kaski Finance Limited,D,kafil@wlink.com.np,http://www.kaskifinance.com.np,Finance,Nepal Rastra Bank,Equity
336,Clean Energy Development Bank Limited,CEDBL,Clean Energy Development Bank Limited,D,info@cedbl.com,http://www.cedbl.com,Development Banks,Nepal Rastra Bank,Equity
337,Triveni Bikas Bank Limited,TBBL,Triveni Bikas Bank Limited,D,triveni@trivenibank.com.np,http://www.trivenibank.com.np,Development Banks,Nepal Rastra Bank,Equity
338,Progressive Finance Limited,PROFL,Progressive Finance Limited,A,info@pfltd.com.np,http://www.pfltd.com.np,Finance,Nepal Rastra Bank,Equity
340,Purwanchal Grameen Bikash Bank Limited,PGBL,Purwanchal Grameen Bikash Bank Limited,D,gbbn@wlink.com.np,http://www.grameenbirat.com.np,Development Banks,Nepal Rastra Bank,Equity
341,Global IME Bank Limited,GBIME,Global IME Bank Limited,A,nlisting@gibl.com.np,http://www.globalimebank.com,Commercial Banks,Nepal Rastra Bank,Equity
342,Reliable Development Bank Limited,REDBL,Reliable Development Bank Limited,D,info@reliablebank.com.np,http://www.reliablebank.com.np,Development Banks,Nepal Rastra Bank,Equity
344,Axis Development Bank Limited,AXIS,Axis Development Bank Limited,D,pbank@wlink.com.np,http://www.pashupatibank.com.np,Development Banks,Nepal Rastra Bank,Equity
345,Shikhar Finance Limited,SBSL,Shikhar Finance Limited,D,sbsl@mail.com.np,http://www.shikharfinance.com.np,Finance,Nepal Rastra Bank,Equity
348,Citizens Bank International Limited,CZBIL,Citizens Bank International Limited,A,rajendra.shrestha@ctznbank.com,www.ctznbank.com,Commercial Banks,Nepal Rastra Bank,Equity
349,Bank of Asia Nepal Limited,BOAN,Bank of Asia Nepal Limited,D,info@boa.com.np,,Commercial Banks,Nepal Rastra Bank,Equity
356,Api Finance Limited,AFL,Api Finance Limited,D,api@fewanet.com.np,,Finance,Nepal Rastra Bank,Equity
357,Prime Commercial Bank Ltd.,PCBL,Prime Commercial Bank Ltd.,A,CS@pcbl.com.np,www.primebank.com.np,Commercial Banks,Nepal Rastra Bank,Equity
358,Lumbini Bikas Bank Ltd.,LBBL,Lumbini Bikas Bank Ltd.,A,hari.subedi@lumbinibikasbank.com,,Development Banks,Nepal Rastra Bank,Equity
359,Sunrise Bank Limited,SRBL,Sunrise Bank Limited,D,info@sunrisebank.com.np,,Commercial Banks,Nepal Rastra Bank,Equity
360,Arun Valley Hydropower Development Co. Ltd.,AHPC,Arun Valley Hydropower Development Co. Ltd.,A,arunvalley2054@gmail.com,,Hydro Power,Nepal Hydropower Board,Equity
361,Crystal Finance Ltd.,CFL,Crystal Finance Ltd.,S,info@crystal.com.np,,Finance,Nepal Rastra Bank,Equity
364,Madhyamanchal Gramin Development Bank Ltd.,MGBL,Madhyamanchal Gramin Development Bank Ltd.,D,info@mgbl.com.np,,Development Banks,Nepal Rastra Bank,Equity
367,Public Development Bank Limited,PDB,Public Development Bank Limited,D,info@pdb.com.np,,Development Banks,Nepal Rastra Bank,Equity
370,Mahakali Bikas Bank Limited,MBBL,Mahakali Bikas Bank Limited,D,info@mahakali.com.np,,Development Banks,Nepal Rastra Bank,Equity
371,Miteri Development Bank Limited,MDB,Miteri Development Bank Limited,A,thakuri@miteribank.com.np,http://www.miteribank.com.np,Development Banks,Nepal Rastra Bank,Equity
383,Pathibhara Bikas Bank Limited,PBSL,Pathibhara Bikas Bank Limited,D,pathibharabank@nns.com.np,,Development Banks,Nepal Rastra Bank,Equity
